,description
466,"HHP/HP B TO INSTALL INSULATION As found condition: - Insulation opened during TICA-033-TX rectification work at HHP/HP Letdown B - To reinstall new insulation  Actions taken during Resolve Myself, Do Troubleshooting and  Advance Troubleshooting: NA  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: NA  Source of Problem: -  Insulation opened & hot surface exposed  As left condition: - No insulation at TICA-033-TX area (HHP/HP Letdown B)  PKP and Troubleshooter name & contact number: - PKP : NA - Troubleshooter : NA  Advance Troubleshooting eLog Number: - NA  Special Tools/ Service/ Equipment required: - NA.  Attachments: - NA  Equipment operation need date: - NA  Rectification Window: - Anytime HHP/HP B TO INSTALL INSULATION HHP/HP B TO INSTALL INSULATION As found condition: - Insulation opened during TICA-033-TX rectification work at HHP/HP Letdown B - To reinstall new insulation  Actions taken during Resolve Myself, Do Troubleshooting and  Advance Troubleshooting: NA  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: NA  Source of Problem: -  Insulation opened & hot surface exposed  As left condition: - No insulation at TICA-033-TX area (HHP/HP Letdown B)  PKP and Troubleshooter name & contact number: - PKP : NA - Troubleshooter : NA  Advance Troubleshooting eLog Number: - NA  Special Tools/ Service/ Equipment required: - NA.  Attachments: - NA  Equipment operation need date: - NA  Rectification Window: - Anytime"
467,TICA-033-TX HHP/HP B reading faulty TICA-033-TX HHP/HP B reading faulty. HHP/HP B: TICA-033-TX reading faulty HHP/HP B: TICA-033-TX reading faulty
468,HRSG F Superheated steam temp TICA-1F55 HRSG F Superheated steam temp TICA-1F55 Superheated steam temp low 482 degreeC.  1st line: Perform checking at transmitter and found no abnormalities.  Troubleshooter: - Got reading from sensor 462 degree C - Reading from tx 472 degree C - Need to calibrate transmitter HRSG F:To check and rectify 121TICA-1F55 HRSG F:To check and rectify 121TICA-1F55-TX due reading low HRSG F Superheated steam temp TICA-1F55 Superheated steam temp low 482 degreeC.  1st line: Perform checking at transmitter and found no abnormalities.  Troubleshooter: - Got reading from sensor 462 degree C - Reading from tx 472 degree C - Need to calibrate transmitter
469,HRSG C DUCT TEMP READING FAULTY Work Request : C&I to replace thermocouple Type K and calibrate transmitter for healthiness verification due to duct temp 121TZA-1C76B-TX intermittent faulty.  1st line T/shooting: 1)Perform Visual inspection no abnomalities.All connection in good condition. 2)PO perform passivation reset SLC.  T/Shooter: 1)Check sensor found open loop. 2)Check power supply 15.21vdc below then normal for operate transmitter (18vdc & above) 3)Check mA output:20.51mA out of range 4)Request to raise defect. HRSG C DUCT TEMP READING FAULTY HRSG C DUCT TEMP READING FAULTY Work Request : C&I to calibrate transmitter for healthiness verification due to duct temp 121T ZA-1C76B-TX intermittent faulty.  1st line T/shooting: 1)Perform Visual inspection no abnomalities.All connection in good condition. 2)PO perform passivation reset SLC.  T/Shooter: 1)Check sensor found open loop. 2)Check power supply 15.21vdc below then normal for operate transmitter
470,HRSG D DUCT TEMP IO CARD PROBLEM WORK REQUEST TASK:To request C&I to replace IO card due to Duct temperature HRSG D (TZA-1D76A-TX) reading undefined from CCMS TAG NUMBER AND NAME: TZA-1D76A-TX Duct temperature HRSG D INTERGRATED TROOBLESHOOT:C&I-Detect reading from out-site and suspect system problem from MDF cabinet (IO card problem). Request to raise defect REMARKS: NA HRSG D:To replace IO card for Duct Temp HRSG D:To replace IO card for Duct Temp tx(121TZA-1D76A-TX) due to reading undefined  WORK REQUEST TASK:To request C&I to replace IO card due to Duct temperature HRSG D (TZA-1D76A-TX) reading undefined from CCMS TAG NUMBER AND NAME: TZA-1D76A-TX Duct temperature HRSG D INTERGRATED TROOBLESHOOT:C&I-Detect reading from out-site and suspect system problem from MDF cabinet (IO card problem). Request to raise defect REMARKS: NA
471,"121TZA-1D76C (HRSG D Duct Temperature) r 121TZA-1D76C (HRSG D Duct Temperature) reading undefined for 10 seconds.  On 18/5/2017, EOG tripped and start to increase their steam offtake. HRSG D duct temperature start to increase (approaching 878 deg C) to meet the steam demand.  On 2039 hrs: 1D76A - 892 deg C (>878 deg C) 1D76B - 845 deg C (still less than 878 deg C) 1D76C - undefined for 10 seconds.  Due to reading of 1D76C undefined, HRSG D burner tripped on 2 out of 3.  Trending was attached at the attachment list. HRSG D:To check and verify 121TZA-1D76C HRSG D:To check and verify 121TZA-1D76C due reading undefined 10 seconds. 121TZA-1D76C (HRSG D Duct Temperature) reading undefined for 10 seconds.  On 18/5/2017, EOG tripped and start to increase their steam offtake. HRSG D duct temperature start to increase (approaching 878 deg C) to meet the steam demand.  On 2039 hrs: 1D76A - 892 deg C (>878 deg C) 1D76B - 845 deg C (still less than 878 deg C) 1D76C - undefined for 10 seconds.  Due to reading of 1D76C undefined, HRSG D burner tripped on 2 out of 3.  Trending was attached at the attachment list."
472,HRSG E: Duct temp reading undefined when HRSG E: Duct temp reading undefined when reading >557 degC (121-TZA-1E76C-TX) HRSG E: To rectify duct temp reading (12 HRSG E: To rectify duct temp reading (121-TZA-1E76C-TX) undefined when reading >557 degC HRSG E: Duct temp reading undefined when reading >557 degC (121-TZA-1E76C-TX)
473,HRSG F:121TZA-1F76A READING UNDEFINE HRSG F:121TZA-1F76A DUCT TEMPERATURE READING UNDEFINE  1st Line T/S: 1. Try to reset but failed 2. Cable Connection at site in good condition  Integrated T/S: Sensor tc kaput - recommended to replace new sensor during shutdown  Work Request: To replace sensor TC type K  Tag Number and name: 121-TZA-1F76A-TX Temperature Burner Shutdown Transmitter  Remark: 2oo3 HRSG F:121TZA-1F76A READING UNDEFINE HRSG F:121TZA-1F76A READING UNDEFINE HRSG F:121TZA-1F76A DUCT TEMPERATURE READING UNDEFINE  1st Line T/S: 1. Try to reset but failed 2. Cable Connection at site in good condition  Integrated T/S: Sensor tc kaput - recommended to replace new sensor during shutdown  Work Request: To replace sensor TC type K  Tag Number and name: 121-TZA-1F76A-TX Temperature Burner Shutdown Transmitter  Remark: 2oo3
474,HRSG F DUCT TEMP READING FAULTY Work Request Task:TO request CnI to replace kaput sensor Tag no and description:121TZA-1F76A-TX HRSG F Duct Temperature 1st line troubleshooting:NA Troubleshooter finding:Found sensor kaput. To replace Remarks:Used nearest Func Location HRSG F DUCT TEMP READING FAULTY HRSG F DUCT TEMP READING FAULTY Work Request Task:TO request CnI to replace kaput sensor Tag no and description:121TZA-1F76A-TX HRSG F Duct Temperature 1st line troubleshooting:NA Troubleshooter finding:Found sensor kaput. To replace Remarks:Used nearest Func Location
475,HRSG F: TZA-1F76C-TX reading faulty HRSG F: TZA-1F76C-TX reading faulty HRSG F: TZA-1F76C-TX reading faulty HRSG F: TZA-1F76C-TX reading faulty
476,"HRSG F DUCT TEMP TX READING INTERMITTENT WORK REQUEST TASK:CNI to replace sensor Thermocouple Type K  TAG NUMBER AND NAME: 121TZA-1F76B-TX Duct Temperature Transmitter HRSG F  INTERGRATED T/SHOOTING: C&I- 1. Check mA output (reading out of range 20.51 mA) 2. Check voltage supply:15.vdc below then normal power supply 18vdc and above. 3. Diagnostic using hart communicator,reminder (sensor 1 fail).  REMARKS: Awaiting Shutdown. HRSG F DUCT TEMP TX READING INTERMITTENT HRSG F DUCT TEMP TX READING INTERMITTENT WORK REQUEST TASK:CNI to replace sensor Thermocouple Type K  TAG NUMBER AND NAME: 121TZA-1F76B-TX Duct Temperature Transmitter HRSG F  INTERGRATED T/SHOOTING: C&I- 1. Check mA output (reading out of range 20.51 mA) 2. Check voltage supply:15.vdc below then normal power supply 18vdc and above. 3. Diagnostic using hart communicator,reminder (sensor 1 fail).  REMARKS: Awaiting Shutdown."
477,HRSG G: Duct temperature reading undefin HRSG G: Duct temperature reading undefined (TZA-1G76B-TX) HRSG G: To rectify duct temperature read HRSG G: To rectify duct temperature reading undefined (TZA-1G76B-TX)
478,"HRSG G: Duct temp reading faulty HRSG G: Duct temp reading faulty and undefined at temp >750degC (TZA-1G76B-TX)  Note: Reading currently back to normal, reading OK. Happened during high steam demand - high firing. HRSG G: Duct temp reading faulty and und HRSG G: Duct temp reading faulty and undefined at temp >750degC (TZA-1G76B-TX)  Note: Reading currently back to normal, reading OK. Happened during high steam demand - high firing."
479,HRSG C: DIVERTER SEAL AIR VALVE STUCK (1 HRSG C: DIVERTER SEAL AIR VALVE STUCK (121US-1C81-SV).  Finding T/S: - OPN perform visual check & found no abnormalities. - OPN perform Stroking from DCS & no movement. - OPN inform C&I for t/shooter.  Troubleshooter: - C&I remove solenoid stroking & visual check condition OK. - C&I perform manual force open/close valve & still no response. C&I suspect stuck. - C&I request OPN to raise SAP and replace new seal air valve.  Work request: - OPN raise SAP. - OPN request C&I to replace new seal air valve during HRSG C CF Renewal.  Remark: - Refer to the picture as per attach. HRSG C: DIVERTER SEAL AIR VALVE STUCK-TO HRSG C: DIVERTER SEAL AIR VALVE STUCK-TO REPLACE 5/2 WAY SOV HRSG C: DIVERTER SEAL AIR VALVE STUCK (121US-1C81-SV).  Finding T/S: - OPN perform visual check & found no abnormalities. - OPN perform Stroking from DCS & no movement. - OPN inform C&I for t/shooter.  Troubleshooter: - C&I remove solenoid stroking & visual check condition OK. - C&I perform manual force open/close valve & still no response. C&I suspect stuck. - C&I request OPN to raise SAP and replace new seal air valve.  Work request: - OPN raise SAP. - OPN request C&I to replace new seal air valve during HRSG C CF Renewal.  Remark: - Refer to the picture as per attach.
480,HRSG C: DIVERTER SEAL AIR VALVE STUCK (1 HRSG C: DIVERTER SEAL AIR VALVE STUCK (121US-1C82-SV). TO REPLACE 5/2 WAY SOV.  Finding T/S: - OPN perform visual check & found no abnormalities. - OPN perform Stroking from DCS & no movement. - OPN inform C&I for t/shooter.  Troubleshooter: - C&I remove solenoid stroking & visual check condition OK. - C&I perform manual force open/close valve & still no response. C&I suspect stuck. - C&I request OPN to raise SAP and replace new seal air valve.  Work request: - OPN raise SAP. - OPN request C&I to replace new seal air valve during HRSG C CF Renewal.  Remark: - Refer to the picture as per attach. HRSG C: DIVERTER SEAL AIR VALVE STUCK (1 HRSG C: DIVERTER SEAL AIR VALVE STUCK (1 HRSG C: DIVERTER SEAL AIR VALVE STUCK (121US-1C82-SV). TO REPLACE 5/2 WAY SOV.  Finding T/S: - OPN perform visual check & found no abnormalities. - OPN perform Stroking from DCS & no movement. - OPN inform C&I for t/shooter.  Troubleshooter: - C&I remove solenoid stroking & visual check condition OK. - C&I perform manual force open/close valve & still no response. C&I suspect stuck. - C&I request OPN to raise SAP and replace new seal air valve.  Work request: - OPN raise SAP. - OPN request C&I to replace new seal air valve during HRSG C CF Renewal.  Remark: - Refer to the picture as per attach.
481,"HRSG D seal air damper (US1D81-SV) kaput As found condition: - SV for HRSG D seal air damper (121US1D81-SV) found kaput  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - NA. Clear cut defect during PM.  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - SV found kaput during PM activity at HRSG D  Source of Problem: - SV  As left condition: - HRSG D in shutdown mode. Awaiting new SV replacement.  PKP and Troubleshooter name & contact number: - Burhan  Advance Troubleshooting eLog Number: - N/A (Clear cut defect)  Special Tools/ Service/ Equipment required: - NA.  Attachments: - NA  Equipment operation need date: - Before HRSG D startup (27/07/20202)  Rectification Window: - Until 27/07/2020  Remarks: - C&I to perform SV replacement for HRSG D seal air damper (121US1D81-SV ) -Functional location not found only their pairing existing. HRSG D seal air damper (US1D81-SV) kaput HRSG D seal air damper (US1D81-SV) kaput As found condition: - SV for HRSG D seal air damper (121US1D81-SV) found kaput  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - NA. Clear cut defect during PM.  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - SV found kaput during PM activity at HRSG D  Source of Problem: - SV  As left condition: - HRSG D in shutdown mode. Awaiting new SV replacement.  PKP and Troubleshooter name & contact number: - Burhan  Advance Troubleshooting eLog Number: - N/A (Clear cut defect)  Special Tools/ Service/ Equipment required: - NA.  Attachments: - NA  Equipment operation need date: - Before HRSG D startup (27/07/20202)  Rectification Window: - Until 27/07/2020  Remarks: - C&I to perform SV replacement for HRSG D seal air damper (121US1D81-SV ) -Functional location not found only their pairing existing."
482,HRSG E: DAMPER SEAL AIR (US-1E81-SV) SOV HRSG E: DAMPER SEAL AIR (US-1E81-SV) SOV IA LEAK.  1st Line T/S: - OPN hear abnormal sound during prepare for OFF Line Washing GT E. - OPN confirm leak after close instrument air supply valve. - OPN found leak at solenoid valve. - OPN inform to C&I for t/shooter.  Troubleshooter: - C&I declare clear cut defect and request OPN to raise SAP. - Will replace new SOV during window shutdown.  Work Request: - OPN raise SAP. - Request C&I to replace new SOV during unit shutdown.  Remark: - Refer to the picture as per attach. HRSG E:  (US-1E81-SV) SOV REPLACEMENT HRSG E:  (US-1E81-SV) SOV REPLACEMENT HRSG E: DAMPER SEAL AIR (US-1E81-SV) SOV IA LEAK.  1st Line T/S: - OPN hear abnormal sound during prepare for OFF Line Washing GT E. - OPN confirm leak after close instrument air supply valve. - OPN found leak at solenoid valve. - OPN inform to C&I for t/shooter.  Troubleshooter: - C&I declare clear cut defect and request OPN to raise SAP. - Will replace new SOV during window shutdown.  Work Request: - OPN raise SAP. - Request C&I to replace new SOV during unit shutdown.  Remark: - Refer to the picture as per attach.
483,HRSG E DAMPER SEAL AIR VALVE LEAK Work request :C&I to replace SOV (121US-1E81-SV) at Diverter Damper E due to leak.  1st line T/shooting: 1)FO verify at site and found leak at SOV (121US-1E81-SV). 2)Isolate Instrument air supply.  T/Shooter: 1)Perform SOV stroking   1.1)At open position no leakage found.   1.2)At close position found leakage at SOV.  Finding : SOV passing HRSG E TO REPLACE SOV SEAL AIR DAMPER HRSG E TO REPLACE SOV SEAL AIR DAMPER Work request :C&I to replace SOV (121US-1E81-SV) at Diverter Damper E due to leak.  1st line T/shooting: 1)FO verify at site and found leak at SOV (121US-1E81-SV). 2)Isolate Instrument air supply.  T/Shooter: 1)Perform SOV stroking   1.1)At open position no leakage found.   1.2)At close position found leakage at SOV.  Finding : SOV passing
484,"HRSG B BURNER #10 ACTUATOR STUCK # As found condition: - HRSG B Burner no. 10 Fail to Ignite  # Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: 1. OPN reset and restart: a. pilot valve not open. b. burner start failed. 2. C&I adjust scanner position and detector sensitivity. Failed a. C&I request to raise ATS.  # Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - C&I Observed Valve Actuator leak & stuck. - C&I request to raise SAP notification  # Source of Problem: - FG Main Line Valve Actuator leak & stuck  # As left condition: - All Burners in operation except No. 10.  # PKP and Troubleshooter name & contact number: - PKP: - T/Shooter: Ahmad Zuhair B Abu Bakar  # Advance Troubleshooting eLog Number: - eLOG-UK-COGEN2-20-02228  # Special Tools/ Service/ Equipment required: - NA.  # Attachments: - NA  # Equipment operation need date: - NA  # Rectification Window: - Tentative Jan 2021  # Remarks: - NA TO REPLACE ACT.HRSG B BURNER #10 TO REPLACE ACT.HRSG B BURNER #10 # As found condition: - HRSG B Burner no. 10 Fail to Ignite  # Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: 1. OPN reset and restart: a. pilot valve not open. b. burner start failed. 2. C&I adjust scanner position and detector sensitivity. Failed a. C&I request to raise ATS.  # Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - C&I Observed Valve Actuator leak & stuck. - C&I request to raise SAP notification  # Source of Problem: - FG Main Line Valve Actuator leak & stuck  # As left condition: - All Burners in operation except No. 10.  # PKP and Troubleshooter name & contact number: - PKP: - T/Shooter: Ahmad Zuhair B Abu Bakar  # Advance Troubleshooting eLog Number: - eLOG-UK-COGEN2-20-02228  # Special Tools/ Service/ Equipment required: - NA.  # Attachments: - NA  # Equipment operation need date: - NA  # Rectification Window: - Tentative Jan 2021  # Remarks: - NA"
